secs,nsecs,latitude,longitude,altitude
1453942839,12916262,40.758068953,-73.981781664,23.579
1453942839,14849519,40.758068953,-73.981781664,23.579
1453942840,12958457,40.758111478,-73.981758422,24.343
1453942840,14850012,40.758111478,-73.981758422,24.343
1453942841,34925553,40.758150333,-73.981732084,25.469
1453942841,36858960,40.758150333,-73.981732084,25.469
1453942842,58916129,40.758191867,-73.981707603,26.699
1453942842,60830292,40.758191867,-73.981707603,26.699
1453942843,47920697,40.758233906,-73.981687401,28.008
1453942843,49830556,40.758233906,-73.981687401,28.008
1453942844,30927818,40.75827762,-73.981671856,29.375
1453942844,32823107,40.75827762,-73.981671856,29.375
1453942845,62893198,40.758320656,-73.981656339,30.746
1453942845,64804773,40.758320656,-73.981656339,30.746
1453942846,43901843,40.75835103,-73.9816429,31.776
1453942846,45829251,40.75835103,-73.9816429,31.776
1453942847,19963387,40.758381412,-73.981630935,32.968
1453942847,21841096,40.758381412,-73.981630935,32.968
1453942848,50923189,40.758426079,-73.981622347,33.841
1453942848,52859765,40.758426079,-73.981622347,33.841
1453942849,41949105,40.758480474,-73.981602865,35.176
1453942849,43767036,40.758480474,-73.981602865,35.176
1453942850,26925664,40.758547027,-73.98157155,36.655
1453942850,28772143,40.758547027,-73.98157155,36.655
1453942851,55885965,40.758613736,-73.981535686,37.729
1453942851,57811094,40.758613736,-73.981535686,37.729
1453942852,34927555,40.758666224,-73.98150679,38.716
1453942852,36783964,40.758666224,-73.98150679,38.716
1453942853,68866398,40.758689994,-73.981490358,39.892
1453942853,70802262,40.758689994,-73.981490358,39.892
1453942854,46868344,40.758707746,-73.981482667,41.379
1453942854,48828529,40.758707746,-73.981482667,41.379
1453942855,25874207,40.758736631,-73.981484785,42.212
1453942855,27772198,40.758736631,-73.981484785,42.212
1453942856,53853630,40.758770991,-73.981479064,43.166
1453942856,55790840,40.758770991,-73.981479064,43.166
1453942857,39818969,40.758803631,-73.981471536,43.858
1453942857,41753270,40.758803631,-73.981471536,43.858
1453942858,62826463,40.758820702,-73.981474299,44.172
1453942858,64733145,40.758820702,-73.981474299,44.172
1453942859,34004002,40.758830008,-73.981469553,45.238
1453942859,35768727,40.758830008,-73.981469553,45.238
1453942860,15829602,40.758838156,-73.9814611,46.567
1453942860,17729230,40.758838156,-73.9814611,46.567
1453942861,38821748,40.758854574,-73.981446713,48.133
1453942861,40740151,40.758854574,-73.981446713,48.133
1453942862,62809919,40.75888073,-73.981425394,49.761
1453942862,64730923,40.75888073,-73.981425394,49.761
1453942863,36802821,40.758914715,-73.981401952,51.504
1453942863,38733719,40.758914715,-73.981401952,51.504
1453942864,65796432,40.758961731,-73.981377251,53.32
1453942864,67700113,40.758961731,-73.981377251,53.32
1453942865,45803104,40.759017812,-73.981348834,55.168
1453942865,47785502,40.759017812,-73.981348834,55.168
1453942866,18794536,40.759075474,-73.981318376,56.97
1453942866,20713910,40.759075474,-73.981318376,56.97
1453942867,41772119,40.759138554,-73.981287722,58.686
